,index,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,1,"[50, 55[",Self-emp-not-inc,83311,Bachelors,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,13,North America,<=50K
1,2,"[35, 40[",Private,215646,HS-grad,Divorced,Handlers-cleaners,Not-in-family,*,Male,0,0,40,North America,<=50K
2,4,"[25, 30[",Private,338409,Bachelors,Married-civ-spouse,Prof-specialty,Wife,*,Female,0,0,40,North America,<=50K
3,7,"[50, 55[",Self-emp-not-inc,209642,HS-grad,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,45,North America,>50K
4,8,"[30, 35[",Private,45781,Masters,Never-married,Prof-specialty,Not-in-family,*,Female,14084,0,50,North America,>50K
5,9,"[40, 45[",Private,159449,Bachelors,Married-civ-spouse,Exec-managerial,Husband,*,Male,5178,0,40,North America,>50K
6,10,"[35, 40[",Private,280464,Some-college,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,80,North America,>50K
7,12,"[20, 25[",Private,122272,Bachelors,Never-married,Adm-clerical,Own-child,*,Female,0,0,30,North America,<=50K
8,16,"[25, 30[",Self-emp-not-inc,176756,HS-grad,Never-married,Farming-fishing,Own-child,*,Male,0,0,35,North America,<=50K
9,17,"[30, 35[",Private,186824,HS-grad,Never-married,Machine-op-inspct,Unmarried,*,Male,0,0,40,North America,<=50K
10,20,"[40, 45[",Private,193524,Doctorate,Married-civ-spouse,Prof-specialty,Husband,*,Male,0,0,60,North America,>50K
11,26,"[15, 20[",Private,168294,HS-grad,Never-married,Craft-repair,Own-child,*,Male,0,0,40,North America,<=50K
12,28,"[35, 40[",Private,367260,HS-grad,Divorced,Exec-managerial,Not-in-family,*,Male,0,0,80,North America,<=50K
13,29,"[45, 50[",Private,193366,HS-grad,Married-civ-spouse,Craft-repair,Husband,*,Male,0,0,40,North America,<=50K
14,31,"[20, 25[",Private,266015,Some-college,Never-married,Sales,Own-child,*,Male,0,0,44,North America,<=50K
15,32,"[45, 50[",Private,386940,Bachelors,Divorced,Exec-managerial,Own-child,*,Male,0,1408,40,North America,<=50K
16,36,"[20, 25[",Private,197200,Some-college,Never-married,Machine-op-inspct,Own-child,*,Male,0,0,40,North America,<=50K
17,44,"[25, 30[",Private,289980,HS-grad,Never-married,Handlers-cleaners,Not-in-family,*,Male,0,0,35,North America,<=50K
18,46,"[50, 55[",Private,144361,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,*,Male,0,0,38,North America,<=50K
19,47,"[40, 45[",Private,128354,Masters,Divorced,Exec-managerial,Unmarried,*,Female,0,0,40,North America,<=50K
20,55,"[40, 45[",Private,237993,Some-college,Married-civ-spouse,Tech-support,Husband,*,Male,0,0,40,North America,>50K
21,58,"[40, 45[",Private,147372,HS-grad,Married-civ-spouse,Adm-clerical,Husband,*,Male,0,0,48,North America,<=50K
22,59,"[30, 35[",Private,188146,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,*,Male,5013,0,40,North America,<=50K
23,60,"[30, 35[",Private,59496,Bachelors,Married-civ-spouse,Sales,Husband,*,Male,2407,0,40,North America,<=50K
24,62,"[45, 50[",Private,149640,HS-grad,Married-civ-spouse,Transport-moving,Husband,*,Male,0,0,40,North America,<=50K
25,63,"[40, 45[",Private,116632,Doctorate,Married-civ-spouse,Prof-specialty,Husband,*,Male,0,0,45,North America,>50K
26,65,"[35, 40[",Private,155537,HS-grad,Married-civ-spouse,Craft-repair,Husband,*,Male,0,0,40,North America,<=50K
27,66,"[25, 30[",Private,183175,Some-college,Divorced,Adm-clerical,Not-in-family,*,Female,0,0,40,North America,<=50K
28,67,"[50, 55[",Private,169846,HS-grad,Married-civ-spouse,Adm-clerical,Wife,*,Female,0,0,40,North America,>50K
29,68,"[45, 50[",Self-emp-inc,191681,Some-college,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,50,North America,>50K
30,73,"[20, 25[",Private,211678,Some-college,Never-married,Machine-op-inspct,Not-in-family,*,Male,0,0,40,North America,<=50K
31,75,"[25, 30[",Private,213921,HS-grad,Never-married,Other-service,Own-child,*,Male,0,0,40,North America,<=50K
32,78,"[15, 20[",Private,309634,11th,Never-married,Other-service,Own-child,*,Female,0,0,22,North America,<=50K
