,index,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,1,"[0, 80[",*,83311,*,*,*,Husband,*,*,0,0,13,*,<=50K
1,2,"[0, 80[",*,215646,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
2,4,"[0, 80[",*,338409,*,*,*,Wife,*,*,0,0,40,*,<=50K
3,7,"[0, 80[",*,209642,*,*,*,Husband,*,*,0,0,45,*,>50K
4,8,"[0, 80[",*,45781,*,*,*,Not-in-family,*,*,14084,0,50,*,>50K
5,9,"[0, 80[",*,159449,*,*,*,Husband,*,*,5178,0,40,*,>50K
6,10,"[0, 80[",*,280464,*,*,*,Husband,*,*,0,0,80,*,>50K
7,12,"[0, 80[",*,122272,*,*,*,Own-child,*,*,0,0,30,*,<=50K
8,16,"[0, 80[",*,176756,*,*,*,Own-child,*,*,0,0,35,*,<=50K
9,17,"[0, 80[",*,186824,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
10,20,"[0, 80[",*,193524,*,*,*,Husband,*,*,0,0,60,*,>50K
11,26,"[0, 80[",*,168294,*,*,*,Own-child,*,*,0,0,40,*,<=50K
12,28,"[0, 80[",*,367260,*,*,*,Not-in-family,*,*,0,0,80,*,<=50K
13,29,"[0, 80[",*,193366,*,*,*,Husband,*,*,0,0,40,*,<=50K
14,31,"[0, 80[",*,266015,*,*,*,Own-child,*,*,0,0,44,*,<=50K
15,32,"[0, 80[",*,386940,*,*,*,Own-child,*,*,0,1408,40,*,<=50K
16,36,"[0, 80[",*,197200,*,*,*,Own-child,*,*,0,0,40,*,<=50K
17,44,"[0, 80[",*,289980,*,*,*,Not-in-family,*,*,0,0,35,*,<=50K
18,46,"[0, 80[",*,144361,*,*,*,Husband,*,*,0,0,38,*,<=50K
19,47,"[0, 80[",*,128354,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
20,55,"[0, 80[",*,237993,*,*,*,Husband,*,*,0,0,40,*,>50K
21,58,"[0, 80[",*,147372,*,*,*,Husband,*,*,0,0,48,*,<=50K
22,59,"[0, 80[",*,188146,*,*,*,Husband,*,*,5013,0,40,*,<=50K
23,60,"[0, 80[",*,59496,*,*,*,Husband,*,*,2407,0,40,*,<=50K
24,62,"[0, 80[",*,149640,*,*,*,Husband,*,*,0,0,40,*,<=50K
25,63,"[0, 80[",*,116632,*,*,*,Husband,*,*,0,0,45,*,>50K
26,65,"[0, 80[",*,155537,*,*,*,Husband,*,*,0,0,40,*,<=50K
27,66,"[0, 80[",*,183175,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
28,67,"[0, 80[",*,169846,*,*,*,Wife,*,*,0,0,40,*,>50K
29,68,"[0, 80[",*,191681,*,*,*,Husband,*,*,0,0,50,*,>50K
30,73,"[0, 80[",*,211678,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
31,75,"[0, 80[",*,213921,*,*,*,Own-child,*,*,0,0,40,*,<=50K
32,78,"[0, 80[",*,309634,*,*,*,Own-child,*,*,0,0,22,*,<=50K
33,80,"[0, 80[",*,446839,*,*,*,Not-in-family,*,*,0,0,30,*,<=50K
34,82,"[0, 80[",*,51618,*,*,*,Wife,*,*,0,0,40,*,<=50K
35,83,"[0, 80[",*,159937,*,*,*,Husband,*,*,0,0,48,*,<=50K
36,85,"[0, 80[",*,346253,*,*,*,Own-child,*,*,0,0,35,*,<=50K
37,86,"[0, 80[",*,268234,*,*,*,Husband,*,*,0,0,40,*,>50K
38,87,"[0, 80[",*,202051,*,*,*,Husband,*,*,0,0,50,*,<=50K
