Bachelors,Academic-Degree,Undergraduate,Higher education,*
Some-college,No-Degree,Undergraduate,Higher education,*
11th,Upper-HS,High School,Secondary education,*
HS-grad,HS-Diploma,High School,Secondary education,*
Prof-school,Prof-Degree,Professional Education,Higher education,*
Assoc-acdm,Associate,Professional Education,Higher education,*
Assoc-voc,Associate,Professional Education,Higher education,*
9th,Lower-HS,High School,Secondary education,*
7th-8th,Junior-High,High School,Secondary education,*
12th,Upper-HS,High School,Secondary education,*
Masters,Advanced-Degree,Graduate,Higher education,*
1st-4th,Elementary,Primary School,Primary education,*
10th,Lower-HS,High School,Secondary education,*
Doctorate,Advanced-Degree,Graduate,Higher education,*
5th-6th,Elementary,Primary School,Primary education,*
Preschool,Pre-K,Primary School,Primary education,*
