Tech-support,Knowledge-Tech,Technical,*
Craft-repair,Industrial-Tech,Technical,*
Other-service,Service-Admin,Other,*
Sales,Business-Mgmt,Nontechnical,*
Exec-managerial,Business-Mgmt,Nontechnical,*
Prof-specialty,Knowledge-Tech,Technical,*
Handlers-cleaners,Unskilled-Labor,Nontechnical,*
Machine-op-inspct,Industrial-Tech,Technical,*
Adm-clerical,Service-Admin,Other,*
Farming-fishing,Primary-Logistics,Other,*
Transport-moving,Primary-Logistics,Other,*
Priv-house-serv,Service-Admin,Other,*
Protective-serv,Service-Admin,Other,*
Armed-Forces,Service-Admin,Other,*
?,Unknown,Other,*
